order_id,customer_id,product_id,quantity,price,order_date
ORDER10000,CUST0001,P0233,5,399915,2024-02-21 12:02:00
ORDER10001,CUST0001,P0088,2,1291717,2025-02-16 00:18:55
ORDER10002,CUST0001,P0038,1,1365584,2023-10-14 03:03:09
ORDER10003,CUST0001,P0032,3,734265,2024-09-02 07:26:35
ORDER10004,CUST0001,P0090,1,360584,2024-10-24 21:59:15
ORDER10005,CUST0001,P0159,5,1251236,2023-03-29 15:38:44
ORDER10006,CUST0001,P0036,5,701808,2023-08-01 08:12:03
ORDER10007,CUST0001,P0062,5,501977,2024-09-24 08:05:03
ORDER10008,CUST0001,P0284,10,934838,2023-01-29 19:06:19
ORDER10009,CUST0001,P0002,2,310200,2023-06-02 11:10:09
ORDER10010,CUST0002,P0086,1,142976,2024-09-20 10:31:10
ORDER10011,CUST0003,P0186,2,288173,2023-05-11 20:54:16
ORDER10012,CUST0003,P0296,5,928656,2023-04-30 07:31:30
ORDER10013,CUST0003,P0264,5,1273956,2023-06-28 14:30:31
ORDER10014,CUST0003,P0213,2,520344,2023-03-21 22:53:10
ORDER10015,CUST0003,P0182,10,1356791,2023-12-31 18:18:42
ORDER10016,CUST0004,P0076,1,10597,2024-10-16 15:14:57
ORDER10017,CUST0004,P0059,10,525670,2024-05-24 05:58:31
ORDER10018,CUST0004,P0136,5,616742,2024-10-12 04:09:04
ORDER10019,CUST0005,P0071,3,487747,2023-08-07 01:38:54
ORDER10020,CUST0005,P0104,2,202499,2025-03-03 22:33:58
ORDER10021,CUST0005,P0018,1,627063,2024-06-15 15:49:05
ORDER10022,CUST0006,P0053,3,165087,2023-08-06 02:59:00
ORDER10023,CUST0006,P0200,10,981580,2024-03-18 09:46:33
ORDER10024,CUST0006,P0144,5,888928,2023-07-24 22:05:41
ORDER10025,CUST0007,P0231,1,1024092,2023-02-23 15:02:32
ORDER10026,CUST0007,P0133,10,1439619,2024-01-08 04:54:53
ORDER10027,CUST0007,P0230,2,396872,2023-05-11 03:05:02
ORDER10028,CUST0007,P0068,5,1324165,2023-02-08 05:32:59
ORDER10029,CUST0007,P0022,10,1206815,2024-06-21 15:49:11
ORDER10030,CUST0008,P0051,1,248074,2024-07-25 07:51:47
ORDER10031,CUST0009,P0055,2,908010,2023-06-08 03:07:11
ORDER10032,CUST0009,P0157,2,1039332,2023-01-13 09:30:18
ORDER10033,CUST0009,P0075,5,941544,2024-04-30 01:38:14
ORDER10034,CUST0009,P0209,2,353641,2024-05-23 15:11:28
ORDER10035,CUST0009,P0071,10,487747,2024-12-20 00:30:52
ORDER10036,CUST0010,P0064,10,627723,2024-06-17 15:47:40
ORDER10037,CUST0010,P0237,2,1289832,2023-02-07 02:31:38
ORDER10038,CUST0011,P0083,2,14097,2024-08-12 22:09:17
ORDER10039,CUST0011,P0133,10,1439619,2023-01-15 03:39:03
ORDER10040,CUST0012,P0075,1,941544,2023-09-30 04:46:54
ORDER10041,CUST0012,P0097,3,602582,2024-05-28 04:24:22
ORDER10042,CUST0012,P0098,1,74841,2023-07-11 01:05:06
ORDER10043,CUST0013,P0166,3,325085,2023-06-17 18:17:21
ORDER10044,CUST0014,P0107,5,314127,2024-02-17 15:05:48
ORDER10045,CUST0014,P0030,1,613612,2023-09-29 06:53:24
ORDER10046,CUST0015,P0152,5,632396,2025-01-08 06:52:52
ORDER10047,CUST0015,P0186,3,288173,2024-10-02 02:23:25
ORDER10048,CUST0016,P0243,3,195833,2024-12-27 11:30:08
ORDER10049,CUST0016,P0207,2,1470918,2024-08-07 21:50:33
ORDER10050,CUST0016,P0268,3,743478,2024-02-24 17:02:35
ORDER10051,CUST0016,P0178,5,1188776,2024-02-17 19:39:43
ORDER10052,CUST0016,P0172,10,700575,2024-04-02 11:17:23
ORDER10053,CUST0017,P0130,5,1025813,2024-04-20 00:41:39
ORDER10054,CUST0017,P0073,1,908079,2025-01-07 04:25:04
ORDER10055,CUST0018,P0239,3,458782,2025-02-02 04:43:31
ORDER10056,CUST0018,P0225,10,241488,2023-02-22 03:05:41
ORDER10057,CUST0018,P0202,2,417784,2024-12-26 19:35:10
ORDER10058,CUST0019,P0188,10,1284766,2024-07-20 02:05:02
ORDER10059,CUST0019,P0203,3,184722,2024-06-13 11:49:08
ORDER10060,CUST0020,P0076,5,10597,2023-10-01 10:49:29
ORDER10061,CUST0020,P0219,5,1400210,2023-10-13 07:16:08
ORDER10062,CUST0021,P0184,5,582722,2023-10-10 04:59:32
ORDER10063,CUST0021,P0089,10,365552,2024-04-11 17:17:18
ORDER10064,CUST0022,P0270,3,1289589,2024-08-11 11:05:15
ORDER10065,CUST0022,P0115,2,162348,2024-11-24 02:11:34
ORDER10066,CUST0022,P0256,2,978626,2023-01-29 09:38:59
ORDER10067,CUST0022,P0129,3,326189,2024-12-25 02:15:21
ORDER10068,CUST0022,P0205,1,1269772,2024-01-26 21:23:59
ORDER10069,CUST0023,P0003,2,1022091,2024-07-18 16:22:33
ORDER10070,CUST0024,P0097,3,602582,2024-12-24 10:52:09
ORDER10071,CUST0024,P0039,10,999238,2023-08-24 06:05:11
ORDER10072,CUST0024,P0027,5,1489355,2024-04-23 07:09:17
